hora,temperatura,umidade,pto_orvalho,pressao,radiacao,vento
9,24.1,77.0,19.9,952.8,102.0,0.0
10,27.0,68.0,20.5,952.8,671.8,0.2
11,NaN,54.0,19.9,953.2,1731.0,0.6
12,NaN,48.0,20.7,953.7,2479.0,1.1
13,33.5,44.0,19.6,953.3,3114.0,1.9
14,NaN,38.0,17.9,952.2,3461.0,2.4
15,31.9,51.0,20.5,951.3,1463.0,3.0
16,22.0,94.0,21.1,953.0,773.5,7.7
17,NaN,97.0,20.2,952.0,33.98,4.4
18,22.4,93.0,21.1,950.6,321.1,2.1
19,NaN,84.0,20.3,951.5,612.4,1.5
20,23.1,81.0,19.6,951.2,255.7,1.4
21,22.5,88.0,20.3,951.7,77.8,1.3
22,22.0,91.0,20.5,953.0,-2.26,0.0
23,22.0,93.0,20.9,954.0,-3.18,0.7
0,22.3,92.0,20.9,953.4,-3.28,1.7
1,22.4,87.0,20.2,953.0,-3.34,2.1
2,21.8,89.0,19.9,952.6,-3.48,0.7
3,21.1,94.0,20.1,952.1,-3.54,0.3
4,20.8,95.0,20.0,951.9,-3.27,0.0
5,20.8,95.0,20.1,952.0,-3.34,0.2
6,20.5,95.0,19.7,951.7,-3.34,0.6
7,20.2,96.0,19.5,951.8,-3.33,0.4
8,20.1,96.0,19.5,951.8,-2.97,0.0
9,21.0,96.0,20.3,952.3,95.97,0.0
10,24.3,83.0,21.2,952.8,727.8,0.0
11,25.7,76.0,21.1,953.3,1844.0,2.1
12,27.5,69.0,21.3,953.8,2605.0,2.1
13,29.4,60.0,20.7,953.6,3300.0,2.1
14,NaN,54.0,20.4,953.2,3271.0,2.6
15,31.4,54.0,20.9,952.5,3637.0,3.4
16,32.3,49.0,20.2,951.7,3093.0,1.6
17,31.9,51.0,20.4,951.0,2957.0,2.8
18,NaN,55.0,21.2,950.4,2022.0,3.5
19,30.1,59.0,21.1,950.5,1187.0,3.3
20,29.8,59.0,20.8,950.4,778.6,1.7
21,28.3,64.0,20.7,950.8,285.5,1.7
22,NaN,68.0,20.7,950.8,-3.38,0.6
23,25.6,74.0,20.5,951.2,-3.54,0.0
0,24.4,84.0,21.4,952.3,-3.54,0.2
1,24.0,84.0,21.2,952.9,-3.54,0.3
2,23.7,85.0,20.9,952.7,-3.54,0.0
3,22.7,87.0,20.5,951.9,-3.54,0.8
4,22.5,90.0,20.8,951.1,-3.54,0.0
5,22.2,89.0,20.3,950.9,-3.54,0.0
6,21.8,92.0,20.4,951.0,-3.54,0.0
7,NaN,92.0,20.5,951.4,-3.54,0.0
8,NaN,89.0,20.2,952.4,-3.23,1.6
9,23.0,90.0,21.3,952.9,60.12,0.0
10,24.4,83.0,21.4,953.8,375.1,0.1
11,26.4,77.0,22.0,954.2,1092.0,1.6
12,26.0,76.0,21.4,954.7,945.9,2.7
13,24.4,75.0,19.8,955.2,543.8,1.9
14,24.8,74.0,19.8,955.6,669.1,1.8
15,24.9,81.0,21.4,954.9,1401.0,2.7
16,28.6,62.0,20.6,953.6,2082.0,1.1
17,NaN,61.0,21.0,952.4,2730.0,2.0
18,29.7,57.0,20.2,951.2,2580.0,3.3
19,NaN,55.0,19.3,950.9,1587.0,3.6
20,NaN,54.0,18.6,951.2,999.1,3.0
21,27.3,62.0,19.4,951.5,154.8,1.5
22,NaN,70.0,19.9,952.3,-3.53,0.0
23,25.0,74.0,20.1,952.9,-3.53,0.7
0,NaN,75.0,20.5,953.6,-3.48,1.0
1,24.4,79.0,20.5,953.9,-3.54,1.8
2,24.1,80.0,20.5,953.4,-3.54,2.0
3,23.7,82.0,20.4,953.1,-3.54,0.3
4,23.0,86.0,20.5,952.5,-3.53,0.0
5,NaN,89.0,20.5,951.9,-3.53,0.0
6,22.4,89.0,20.4,951.9,-3.3,0.0
7,22.5,88.0,20.4,952.1,-3.3,0.0
8,NaN,88.0,20.2,952.0,-3.28,0.1
9,22.7,86.0,20.2,952.2,66.46,0.5
10,24.3,78.0,20.1,952.0,489.7,1.2
11,25.5,71.0,19.9,952.6,1074.0,2.4
12,28.1,63.0,20.3,953.0,2078.0,0.7
13,28.9,61.0,20.6,953.1,2111.0,1.5
14,29.4,61.0,21.0,952.7,3179.0,1.7
15,NaN,54.0,20.4,951.8,3576.0,2.0
16,32.2,51.0,20.6,950.7,3140.0,2.3
17,NaN,48.0,19.5,949.7,2712.0,2.4
18,33.7,42.0,19.2,948.9,2312.0,1.5
19,NaN,45.0,18.7,948.6,1286.0,2.5
20,31.1,52.0,20.0,948.6,818.3,2.4
21,29.5,56.0,19.9,949.3,187.6,0.9
22,NaN,59.0,19.7,949.8,-3.38,1.0
23,NaN,64.0,20.0,949.9,-3.54,0.8
0,25.8,74.0,20.8,949.7,-3.54,0.5
1,25.0,78.0,21.0,950.2,-3.54,0.7
2,24.3,82.0,21.1,950.3,-3.54,0.2
3,23.9,83.0,20.8,950.1,-3.54,0.0
4,23.8,83.0,20.8,950.0,-3.54,0.5
5,23.3,87.0,20.9,949.7,-3.54,0.3
6,NaN,87.0,20.6,949.4,-3.54,0.3
7,22.5,90.0,20.7,950.0,-3.53,0.0
8,22.5,87.0,20.2,950.2,-3.54,0.0
9,22.9,87.0,20.6,950.9,114.3,0.0
10,26.2,75.0,21.4,951.3,648.8,0.0
11,29.1,61.0,21.0,951.6,1396.0,0.0
12,29.2,59.0,20.5,951.7,2096.0,2.8
13,29.4,59.0,20.7,951.3,2342.0,2.5
14,29.0,67.0,22.1,950.4,2640.0,2.2
15,29.9,56.0,20.3,949.6,1785.0,3.8
16,25.1,77.0,20.9,950.2,992.0,1.2
17,27.1,72.0,21.5,948.5,1789.0,1.3
18,29.2,60.0,20.8,948.0,2937.0,2.0
